title,channel,url,sourceKind,topicType,entities,startSeconds
10 Tips & Tricks for DEADLOCK You NEED to Know - Radiant Deadlock Guide VALORANT,Brush,https://www.youtube.com/watch?v=vkqCjGOiXYg,owner-curated-research-video,Agent,Deadlock,0
"perfect sentinel is easy, actually",Slayerkey,https://www.youtube.com/watch?v=VM3q0c71urw,owner-curated-research-video,Role,Sentinel,824
champions 2024 collection video,VALORANT,https://www.youtube.com/watch?v=VNxvRG0ceUI,skin-collection-video,,champions-2024,0
"Pearl Premier Guide, from a Pro Coach | New Meta",Fellowship Esports,https://www.youtube.com/watch?v=WgFVsicmygo,owner-curated-research-video,Map Knowledge,Pearl,0
reaver collection video,VALORANT,https://www.youtube.com/watch?v=WLWZP6eRkiA,skin-collection-video,,reaver,0
THIS IS HOW TENZ PLAYS DEADLOCK IN 2026 🤣,TenZ Replay,https://www.youtube.com/watch?v=WNb1Miky4Bw,owner-curated-research-video,Agent,Deadlock,0
How to Play Skye From a Valorant Pro! | TSM Subroza Valorant,TSM,https://www.youtube.com/watch?v=WS1Tt5vjszo,owner-curated-research-video,Agent,Skye,0
evori dreamwings collection video,VALORANT,https://www.youtube.com/watch?v=wtJt38PhTOE,skin-collection-video,,evori-dreamwings,0
"Icebox Premier Guide, from a Pro Coach",Fellowship Esports,https://www.youtube.com/watch?v=wV3g1dbgKqA,owner-curated-research-video,Map Knowledge,Icebox,0
oni collection video,VALORANT,https://www.youtube.com/watch?v=WwVgA5X4lP4,skin-collection-video,,oni,0
Sova Guide 2024: How to play Sova in Valorant ranked,AverageJonas,https://www.youtube.com/watch?v=XKd3U9JCLL8,owner-curated-research-video,Agent,Sova,0
What Makes A Good Duelist?,Konpeki,https://www.youtube.com/watch?v=XNMgCjPs9T8,owner-curated-research-video,Role,Duelist,414
How the #1 Vyse Thinks...,Chef,https://www.youtube.com/watch?v=XvcKw-t2ci0,owner-curated-research-video,Agent,Vyse,0
"Haven Premier Guide, from a Pro Coach | NEW 2025",Fellowship Esports,https://www.youtube.com/watch?v=xwlRdAh-XEo,owner-curated-research-video,Map Knowledge,Haven,0
The Art Of The Initiator,BubbaWubba,https://www.youtube.com/watch?v=xxfrFpLp8JQ,owner-curated-research-video,Role,Initiator,0
champions 2022 collection video,VALORANT,https://www.youtube.com/watch?v=yfFTEn6URbg,skin-collection-video,,champions-2022,0
How To Play CHAMBER in Valorant (PRO Tips & Tricks Series) || Chamber To Radiant (#1),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=yIRRRwqBA7E,owner-curated-research-video,Agent,Chamber,0
singularity collection video,Dittozkul,https://www.youtube.com/watch?v=yJ64L0dxpUY,skin-collection-video,,singularity,0
Phoenix is really good right now,Maxie,https://www.youtube.com/watch?v=ysO09QrES3s,owner-curated-research-video,Agent,Phoenix,850
Entry like a Radiant | Full Duelist Guide,randomnoobtv,https://www.youtube.com/watch?v=z1owph5QsxM,owner-curated-research-video,Role,Duelist,0
Official VCT collection video,VALORANT,https://www.youtube.com/watch?v=z3AOg7mUP_Y,skin-collection-video,,VCT cosmetics,0
prime 2 0 collection video,VALORANT,https://www.youtube.com/watch?v=Z5Fm4jtnQc8,skin-collection-video,,prime-2-0,0
"The ULTIMATE Brimstone Guide! - Lineups, Smoke Tips and MORE! - Valorant Agent Guide",SC Valorant Guides,https://www.youtube.com/watch?v=ZKVx1AVwibg,owner-curated-research-video,Agent,Brimstone,0
How To Master Breach: Tips & Tricks,Vitalytoly,https://www.youtube.com/watch?v=ZrINkPmwqQY,owner-curated-research-video,Agent,Breach,0
The ONLY Yoru Guide You'll EVER Need!,SC Valorant Guides,https://www.youtube.com/watch?v=ZRkUafkqvOc,owner-curated-research-video,Agent,Yoru,0
ayakashi collection video,VALORANT,https://www.youtube.com/watch?v=ZSEMYF4AU2g,skin-collection-video,,ayakashi,0
COMPLETE Icebox 2.0 Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=ztBr3Qkbxdo,owner-curated-research-video,Map Knowledge,Icebox,0
